Año;CodLocalidadResidencia;NombreLocalidad;Barrio;CicloVital;ClasificaciónConducta;Sexo;Casos
2012;1;Usaquén;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Mujer;29
2012;1;Usaquén;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Hombre;6
2012;1;Usaquén;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Hombre;12
2012;1;Usaquén;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Mujer;14
2012;1;Usaquén;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Mujer;38
2012;1;Usaquén;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Mujer;7
2012;1;Usaquén;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Hombre;16
2012;1;Usaquén;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Hombre;3
2012;1;Usaquén;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Hombre;18
2012;1;Usaquén;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Mujer;14
2012;1;Usaquén;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Mujer;30
2012;1;Usaquén;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Hombre;3
2012;1;Usaquén;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Mujer;8
2012;1;Usaquén;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Hombre;1
2012;1;Usaquén;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Hombre;3
2012;1;Usaquén;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Mujer;1
2012;1;Usaquén;UPZ Sin Asignar;>60 Vejez;Intento de Suicidio;Hombre;2
2012;1;Usaquén;UPZ Sin Asignar;>60 Vejez;Intento de Suicidio;Mujer;2
2012;1;Usaquén;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Mujer;2
2012;1;Usaquén;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Hombre;1
2012;2;Chapinero;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Hombre;5
2012;2;Chapinero;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Mujer;17
2012;2;Chapinero;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Hombre;2
2012;2;Chapinero;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Mujer;1
2012;2;Chapinero;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Mujer;26
2012;2;Chapinero;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Hombre;10
2012;2;Chapinero;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Hombre;10
2012;2;Chapinero;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Mujer;12
2012;2;Chapinero;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Hombre;1
2012;2;Chapinero;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Mujer;1
2012;2;Chapinero;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Hombre;2
2012;2;Chapinero;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Mujer;1
2012;2;Chapinero;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Hombre;1
2012;2;Chapinero;UPZ Sin Asignar;>60 Vejez;Intento de Suicidio;Hombre;1
2012;3;Santa Fe;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Mujer;8
2012;3;Santa Fe;UPZ Sin Asignar;12 – 17 Adolescencia;Intento de Suicidio;Hombre;2
2012;3;Santa Fe;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Mujer;7
2012;3;Santa Fe;UPZ Sin Asignar;12 – 17 Adolescencia;Ideación suicida;Hombre;4
2012;3;Santa Fe;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Mujer;10
2012;3;Santa Fe;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Mujer;4
2012;3;Santa Fe;UPZ Sin Asignar;18 – 28 Juventud;Ideación suicida;Hombre;2
2012;3;Santa Fe;UPZ Sin Asignar;18 – 28 Juventud;Intento de Suicidio;Hombre;2
2012;3;Santa Fe;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Hombre;4
2012;3;Santa Fe;UPZ Sin Asignar;29 – 59 Adultez;Ideación suicida;Mujer;8
2012;3;Santa Fe;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Mujer;6
2012;3;Santa Fe;UPZ Sin Asignar;29 – 59 Adultez;Intento de Suicidio;Hombre;4
2012;3;Santa Fe;UPZ Sin Asignar;6 – 11 Infancia;Intento de Suicidio;Mujer;1
2012;3;Santa Fe;UPZ Sin Asignar;6 – 11 Infancia;Ideación suicida;Hombre;2
2012;3;Santa Fe;UPZ Sin Asignar;>60 Vejez;Ideación suicida;Mujer;2
